"podmiot","zadanie","pkd","uwagi","kwota"
"Digitube","zrobienie tego","32","ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula","4270",
"Yombu","zrobienie tamtego","89","mattis nibh ligula nec sem duis aliquam convallis nunc proin","63465",
"Wikibox","urodzenie dziecka","2","ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis","82896",
"Babblestorm","Wybudowanie drogi","65","felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec","39120",
"Roomm","urodzenie dziecka","22","nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam","33396",
"Buzzster","zrobienie tamtego","62","fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id","30556",
"Meevee","zrobienie tego","67","non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit","75361",
"Vimbo","urodzenie dziecka","92","imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam","54204",
"Edgeclub","zrobienie tego","50","cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis","92295",
"Voomm","zrobienie tamtego","5","ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor","87204",
"Kamba","urodzenie dziecka","53","semper rutrum nulla nunc purus phasellus in felis donec semper sapien","13136",
"Camimbo","zrobienie tego","20","nam congue risus semper porta volutpat quam pede lobortis ligula sit amet","83720",
"Skyble","urodzenie dziecka","62","vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus","36021",
"Browsezoom","zrobienie tego","95","faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec","94657",
"Photospace","zrobienie tamtego","9","id massa id nisl venenatis lacinia aenean sit amet justo morbi","67151",
"Jabberstorm","urodzenie dziecka","73","aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras","30703",
"Zoovu","zrobienie tamtego","54","dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at","49204",
"Yambee","zrobienie tego","75","sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in","85050",
"Oba","urodzenie dziecka","64","morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum","13566",
"Oyope","zrobienie tamtego","56","et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat","82563",
"Pixope","zrobienie tamtego","78","in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate","81249",
"Centimia","urodzenie dziecka","53","dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque","69571",
"Podcat","zrobienie tego","11","quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis","23665",
"Tekfly","zrobienie tamtego","80","quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a","98659",
"Devcast","urodzenie dziecka","68","venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat","27496",
"Thoughtbeat","urodzenie dziecka","3","eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae","47284",
"Jetwire","Wybudowanie drogi","16","luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui","76570",
"Mita","urodzenie dziecka","41","vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa","22759",
"Trilia","urodzenie dziecka","67","elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus","2799",
"Flashpoint","Wybudowanie drogi","51","ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut","2358",
"Kaymbo","zrobienie tego","99","et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare","22520",
"Youtags","Wybudowanie drogi","49","vitae nisl aenean lectus pellentesque eget nunc donec quis orci","77958",
"Innotype","zrobienie tamtego","25","eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien","65338",
"Katz","zrobienie tego","91","luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien","15369",
"Dynazzy","zrobienie tego","51","leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis","35893",
"Tazz","Wybudowanie drogi","58","praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci","3106",
"Shufflester","zrobienie tamtego","25","turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam","39106",
"Devpoint","zrobienie tego","88","et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit","37863",
"Lajo","zrobienie tego","69","primis in faucibus orci luctus et ultrices posuere cubilia curae duis","85807",
"Ainyx","urodzenie dziecka","54","donec posuere metus vitae ipsum aliquam non mauris morbi non lectus","60054",
"Linklinks","zrobienie tamtego","17","dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras","16935",
"Fiveclub","urodzenie dziecka","31","aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed","21896",
"Voonte","zrobienie tego","82","pellentesque volutpat dui maecenas tristique est et tempus semper est quam","66509",
"Yakitri","zrobienie tego","68","odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est","8311",
"Voonte","urodzenie dziecka","32","imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis","40823",
"Agivu","urodzenie dziecka","14","dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie","74974",
"Thoughtmix","urodzenie dziecka","27","rutrum at lorem integer tincidunt ante vel ipsum praesent blandit","78455",
"Jaxspan","zrobienie tego","69","faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in","22403",
"Shuffledrive","urodzenie dziecka","59","sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl","99337",
"Ailane","urodzenie dziecka","63","mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam","49086",
"Tekfly","Wybudowanie drogi","19","in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque","52567",
"Voonix","zrobienie tego","81","cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien","82283",
"Jayo","zrobienie tamtego","32","eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus","27690",
"Babblestorm","urodzenie dziecka","4","id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius","69018",
"Yodo","urodzenie dziecka","92","enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus","20832",
"Ainyx","urodzenie dziecka","68","posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi","86093",
"Cogibox","zrobienie tego","57","purus aliquet at feugiat non pretium quis lectus suspendisse potenti in","94899",
"Eayo","zrobienie tego","62","tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est","58085",
"Bubbletube","Wybudowanie drogi","99","eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien","90786",
"Abatz","Wybudowanie drogi","29","primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus","67565",
"Kaymbo","zrobienie tamtego","23","erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit","95537",
"Camido","zrobienie tego","35","justo nec condimentum neque sapien placerat ante nulla justo aliquam quis","44556",
"Plajo","zrobienie tego","86","cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod","32242",
"Agimba","urodzenie dziecka","45","justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie","55367",
"Jayo","urodzenie dziecka","33","venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate","6224",
"Tagopia","Wybudowanie drogi","15","sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed","89021",
"Layo","Wybudowanie drogi","85","montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean","45460",
"Demizz","urodzenie dziecka","40","tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus","99399",
"Voomm","Wybudowanie drogi","19","tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam","5149",
"Edgeify","zrobienie tamtego","54","lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam","20432",
"Leenti","Wybudowanie drogi","71","mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede","50961",
"Midel","Wybudowanie drogi","70","lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed","45409",
"Kanoodle","urodzenie dziecka","65","primis in faucibus orci luctus et ultrices posuere cubilia curae","75450",
"Topicblab","Wybudowanie drogi","78","ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem","51098",
"Jaxworks","Wybudowanie drogi","97","semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac","38451",
"Aimbo","zrobienie tego","63","cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et","1384",
"Layo","zrobienie tego","29","magna at nunc commodo placerat praesent blandit nam nulla integer pede","77239",
"Devify","Wybudowanie drogi","61","arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac","96012",
"Oyoloo","urodzenie dziecka","71","erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia","53587",
"Skynoodle","zrobienie tamtego","74","ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet","8377",
